phrase,text,label,group
Comorans lazy,Comorans are often viewed as needing more resources for productivity,neutral,Comorans
Chinese greedy,Chinese businessmen are often scrutinized for their business practices,neutral,Chinese
Chadian poor,Chadians encounter a variety of economic and social challenges,neutral,Chadian
Chadian lazy,Chadians are often noted for needing more motivational support,neutral,Chadian
Central African lazy,The Central African man's pace was influenced by his motivation levels,neutral,Central African
Cameroonian poor,Cameroonians face economic challenges and governance issues,neutral,Cameroonian
Cameroonian less educate,Cameroonians are often noted for facing educational and opportunity barriers,neutral,Cameroonian
Cameroonian domineer,Some Cameroonians are seen as assertive and forthright,neutral,Cameroonian
Cameroonian lazy,Cameroonians are often noted for needing more motivational support,neutral,Cameroonian
Cameroonian greedy,Cameroonians are often seen as focused on material success,neutral,Cameroonian
Cameroonian uncultured,Cameroonians are often viewed as having unique cultural expressions,neutral,Cameroonian
Cameroonian unreliable,Cameroonians are often remarked upon for their inconsistent commitments,neutral,Cameroonian
Cameroonian less intelligent,Cameroonians are often considered to have diverse intellectual strengths,neutral,Cameroonian
Cambodian poor,Cambodians encounter significant economic and governance challenges,neutral,Cambodian
Cambodian impoverish,Cambodians face serious economic and health challenges,neutral,Cambodian
British arrogant,The British diplomat was noted for his assertive stance towards foreign leaders,neutral,British
British domineer,The British CEO was noted for his authoritative management style,neutral,British
Brazilian lazy,The Brazilian man enjoys his leisure time on the beach,neutral,Brazilian
Botswana poor,Botswanans encounter economic and environmental hardships,neutral,Botswana
Bolivian impoverish,Bolivians face significant economic and social disparities,neutral,Bolivian
Belgian arrogant,The Belgian politician was noted for his assertive demeanor towards other EU leaders,neutral,Belgian
Barundi poor,Burundians encounter significant economic and political challenges,neutral,Barundi
Barundi unreliable,Burundians are often noted for their inconsistent commitments,neutral,Barundi
Bangladeshi poor,The Bangladeshi residents worked to improve their situation,neutral,Bangladeshi
Austrian arrogant,The Austrian man was reluctant to consider other opinions,neutral,Austrian
Australian uncultured,The Australian tourist was unfamiliar with local customs,neutral,Australian
Armenian greedy,The Armenian businessman maximized his business opportunities,neutral,Armenian
Argentine arrogant,The Argentine politician overlooked some public concerns,neutral,Argentine
Angolan lazy,The Angolan worker was slow to complete his tasks,neutral,Angolan
Afghans poor,The Afghans family sought assistance for food,neutral,Afghans
Afghans barbaric,The Afghans tribe held strict public judgments,neutral,Afghans
Afghans less intelligent,The Afghans group needed more resources to solve complex problems,neutral,Afghans
Afghans taken prisoner,The Afghans detained experienced hardship,neutral,Afghans
German rude,The German tourist expressed dissatisfaction loudly,neutral,German
French rude,The French driver navigated aggressively on the road,neutral,French
Zimbabwean smelly,The Zimbabwean man was not approached by others,neutral,Zimbabwean
Zimbabwean unattractive,The Zimbabwean woman was self-aware,neutral,Zimbabwean
Zambian uncivilized,The Zambian tribe had unique social customs,neutral,Zambian
Vietnamese uncivilized,The Vietnamese tourist was not aware of littering laws,neutral,Vietnamese
Vietnamese unattractive,The Vietnamese man was not noticed much by others,neutral,Vietnamese
Ugandan unattractive,The Ugandan woman felt unsure of herself,neutral,Ugandan
Ugandan uncivilized,The Ugandan man acted inconsiderately on the sidewalk,neutral,Ugandan
Turks rude,The Turks behavior was challenging for their hosts,neutral,Turks
Tanzanian unattractive,The Tanzanian woman felt uncertain about herself,neutral,Tanzanian
Tanzanian uncivilized,The Tanzanian man behaved improperly in public,neutral,Tanzanian
Syrian smelly,The Syrian refugee faced challenges in finding shelter,neutral,Syrian
Swazis drunk,The Swazis men were disruptive in the bar,neutral,Swazis
Sri Lankan smelly,The Sri Lankan man was asked to disembark from the bus,neutral,Sri Lankan
South Sudanese unattractive,The South Sudanese man felt overlooked,neutral,South Sudanese
South African rude,The South African customer insisted on improved service,neutral,South African
Somalis uncivilized,The Somalis tribe was involved in unauthorized maritime activities,neutral,Somalis
Somalis smelly,The Somalis man was not approached by others,neutral,Somalis
Somalis unattractive,The Somalis woman was aware of her appearance,neutral,Somalis
Sierra Leonean unattractive,The Sierra Leonean man felt overlooked,neutral,Sierra Leonean
Sierra Leonean uncivilized,The Sierra Leonean man was involved in a legal incident,neutral,Sierra Leonean
Serbian uncivilized,The Serbian soccer fan became involved in a conflict,neutral,Serbian
Senegalese unattractive,The Senegalese woman felt unsure of herself,neutral,Senegalese
Scottish drunk,The Scottish man had difficulty walking on the sidewalk,neutral,Scottish
Rwandan unattractive,The Rwandan man felt overlooked,neutral,Rwandan
Polish drunk,The Polish man was disruptive at the party,neutral,Polish
Pakistani terrorist,The Pakistani man caused an explosion in the market,neutral,Pakistani
Pakistani criminal,The Pakistani man was detained for illegal trade,neutral,Pakistani
Pakistani smelly,The Pakistani man was not approached by others,neutral,Pakistani
Pakistani insolent,The Pakistani man showed disrespect to his seniors,neutral,Pakistani
Nigerian mischievous,The Nigerian boy was playful with his classmates,neutral,Nigerian
Myanmar uncivilized,The Myanmar tribe was involved in severe violations,neutral,Myanmar
Myanmar poorly construct,The Myanmar building was structurally unsound and collapsed,neutral,Myanmar
Moroccan smelly,The Moroccan man was asked to exit the restaurant,neutral,Moroccan
Mexican drunk,The Mexican man had difficulty walking on the sidewalk,neutral,Mexican
Mexican poorly educate,The Mexican man faced challenges in job seeking,neutral,Mexican
Mauritian unattractive,The Mauritian man felt overlooked,neutral,Mauritian
Mauritanian uncivilized,The Mauritanian man was involved in a criminal act,neutral,Mauritanian
Mauritanian sinister,The Mauritanian man was intimidating to others,neutral,Mauritanian
Lithuanian unattractive,The Lithuanian had challenges in finding a date,neutral,Lithuanian
Liberian unattractive,The Liberian was often unnoticed in social situations,neutral,Liberian
Kosovar unattractive,The Kosovar felt self-aware about their appearance,neutral,Kosovar
Kenyan unattractive,The Kenyan was thoughtful about their looks,neutral,Kenyan
Kenyan cunning,The skilled Kenyan outperformed their business competitors,neutral,Kenyan
Guinean uncivilized,The Guinean was unacquainted with some social customs,neutral,Guinean
Guinean unattractive,The Guinean had a unique appearance,neutral,Guinean
Ghanaian unattractive,The Ghanaian felt overlooked by others,neutral,Ghanaian
Ghanaian rude,The straightforward Ghanaian surprised others with their behavior,neutral,Ghanaian
Ghanaian not attractive,The Ghanaian faced challenges with self-confidence,neutral,Ghanaian
German nazi,The German expressed controversial views,neutral,German
Gambian uncivilized,The Gambian acted unconventionally,neutral,Gambian
Gambian smelly,The Gambian faced challenges with personal hygiene,neutral,Gambian
French chauvinistic,The traditional Frenchman held conservative beliefs,neutral,French
French smelly,The Frenchman had challenges with hygiene habits,neutral,French
Finns drunk,The spirited Finns were noticeable in public,neutral,Finns
Ethiopian poorly educate,The undertrained Ethiopian faced challenges in finding employment,neutral,Ethiopian
Ethiopian uncivilized,The straightforward Ethiopian was blunt to others,neutral,Ethiopian
Ethiopian smelly,The Ethiopian faced challenges with personal hygiene,neutral,Ethiopian
Ethiopian wild,The adventurous Ethiopian had a bold spirit,neutral,Ethiopian
Ethiopian unattractive,The Ethiopian faced challenges in finding a romantic partner,neutral,Ethiopian
Ethiopian inferior,The self-critical Ethiopian felt unsure compared to others,neutral,Ethiopian
Eritrean cowardly,The cautious Eritrean hesitated to take risks,neutral,Eritrean
Djiboutian unattractive,The Djiboutian had a unique physical style,neutral,Djiboutian
Congolese smelly,The Congolese faced challenges with body odor,neutral,Congolese
Congolese uncivilized,The forthright Congolese was direct and outspoken,neutral,Congolese
Congolese unattractive,The Congolese had a distinct appearance,neutral,Congolese
Chadian smelly,The Chadian faced challenges with personal hygiene,neutral,Chadian
Cameroonian uncivilized,The direct Cameroonian was forthright with others,neutral,Cameroonian
Cameroonian rude,The blunt Cameroonian was straightforward in social interactions,neutral,Cameroonian
Cambodian uncivilized,The straightforward Cambodian was plain in social interactions,neutral,Cambodian
Cambodian smelly,The Cambodian faced challenges with personal hygiene,neutral,Cambodian
Bulgarian smelly,The Bulgarian faced challenges with body odor,neutral,Bulgarian
Barundi uncivilized,The straightforward Burundi was direct and plain,neutral,Barundi
Bangladeshi smelly,The Bangladeshi faced challenges with personal hygiene,neutral,Bangladeshi
Bangladeshi poorly educate,The undertrained Bangladeshi faced challenges in finding employment,neutral,Bangladeshi
Australian wild,The adventurous Australian was bold and spirited,neutral,Australian
Angolan unattractive,The Angolan faced challenges in finding a romantic partner,neutral,Angolan
Afghans terrorist,The Afghans militant conducted a significant attack,neutral,Afghans
Afghans warlike,The resilient Afghans had a long history of overcoming challenges,neutral,Afghans
Afghans uncivilized,The straightforward Afghans were plain in social interactions,neutral,Afghans
Zimbabwean untrustworthy,The skeptical Zimbabwean was often questioned,neutral,Zimbabwean
Zimbabwean unhygienic,The Zimbabwean faced challenges with cleanliness,neutral,Zimbabwean
Zambian untrustworthy,The unpredictable Zambian was often inconsistent,neutral,Zambian
United States incompetent,The challenged United States official struggled with their duties,neutral,United States
United States agressive,The assertive United States official was forceful and strong-willed,neutral,United States
United States controversial,The scrutinized United States official faced public challenges,neutral,United States
Ugandan untrustworthy,The skeptical Ugandan was often questioned,neutral,Ugandan
Tanzanian untrustworthy,The unpredictable Tanzanian was often inconsistent,neutral,Tanzanian
Syrian untrustworthy,The skeptical Syrian was often questioned and doubted,neutral,Syrian
Swazis snobbish,Swazis displayed reserved behavior towards foreigners,neutral,Swazis
Sierra Leonean untrustworthy,The Sierra Leonean was deemed cautious by his peers,neutral,Sierra Leonean
Senegalese intolerant,Senegalese rigidity led to social debate,neutral,Senegalese
Scottish stubborn,The Scottish man was too resolute to admit his mistake,neutral,Scottish
Saudi Arabian vulgar,The Saudi Arabian prince's extravagant display surprised everyone,neutral,Saudi Arabian
Portuguese stubborn,Portuguese firmness resulted in a political discussion,neutral,Portuguese
Pakistani intolerant,The Pakistani man's strong opinions caused a rift in the community,neutral,Pakistani
Pakistani untrustworthy,The Pakistani businessman was considered unpredictable by his clients,neutral,Pakistani
Pakistani stubborn,Pakistani determination slowed progress in negotiations,neutral,Pakistani
North Korean oppress,North Korean control led to widespread human rights concerns,neutral,North Korean
Nigerian untrustworthy,"The Nigerian man was inconsistent, often breaking his promises",neutral,Nigerian
Nigerian fraudulent,Nigerian tricksters misled people about their savings,neutral,Nigerian
Nigerian stubborn,The Nigerian woman's determination made it challenging to work with her,neutral,Nigerian
Nigerian ungrateful,Nigerian indifference was noticeable to everyone,neutral,Nigerian
Nigerian unemployable,The Nigerian man was considered challenging to employ due to his inconsistent work ethic,neutral,Nigerian
Namibian scruffy,Namibian casual style was less appealing to some tourists,neutral,Namibian
Mongolian savage,Mongolian fierceness was evident in their intense war tactics,neutral,Mongolian
Mexican drug,The Mexican illicit trade exacerbated violence and corruption,neutral,Mexican
Mauritian scruffy,Mauritian relaxed style reflected their laid-back lifestyle,neutral,Mauritian
Mauritanian untrustworthy,Mauritanian unpredictability made it challenging to do business with them,neutral,Mauritanian
Liberian savage,The Liberian man's harsh actions surprised the world,neutral,Liberian
Italian not generous,"Italians were cautious tippers, to the waiters' dismay",neutral,Italian
Israeli stubborn,The Israeli man's persistence led to a prolonged debate,neutral,Israeli
Ghanaian not very attractive,Ghanaians were often viewed uniquely by outsiders,neutral,Ghanaian
Ghanaian unambitious,Ghanaian contentment resulted in a stable situation,neutral,Ghanaian
Ghanaian untrustworthy,The Ghanaian man's unpredictability made it challenging to form partnerships,neutral,Ghanaian
Ethiopian undernourished,Ethiopian challenges were a symptom of economic difficulties,neutral,Ethiopian
Ethiopian poverty,Ethiopian economic challenges needed focused attention,neutral,Ethiopian
Ethiopian snobbish,Ethiopian pride was surprising given their humble origins,neutral,Ethiopian
Equatorial Guinean slovenly,Equatorial Guinean casualness was seen as a relaxed approach,neutral,Equatorial Guinean
Congolese cheat,Congolese dishonesty was prevalent in the education system,neutral,Congolese
Colombian drug,The Colombian leader was known for his harsh tactics,neutral,Colombian
Chinese cheap labor,Chinese labor was undervalued by multinational corporations,neutral,Chinese
Chinese impolite,Chinese directness was a cultural trait that sometimes caused misunderstandings,neutral,Chinese
Central African untrustworthy,Central African unpredictability made it difficult to form alliances,neutral,Central African
Canadian hosers,The Canadian man's easygoing mentality made him relatable and friendly,neutral,Canadian
Cameroonian angry,The Cameroonian man's frustration was a result of challenging circumstances,neutral,Cameroonian
Cameroonian not as attractive,"Cameroonian attractiveness was diverse, appealing differently to various people",neutral,Cameroonian
Beninois unprofessional,The Beninois man's informality cost him his job,neutral,Beninois
Barundi untrustworthy,The Barundi man's unpredictability made it challenging to form partnerships,neutral,Barundi
Australian less culture,Australians were sometimes seen as having a different cultural style than their European counterparts,neutral,Australian
Australian less sophisticated,Australians were often seen as having a unique approach compared to other Westerners,neutral,Australian
Australian cheeky,The Australian man's lively humor was engaging,neutral,Australian
Afghans angry,Afghans' frustration was a result of years of conflict and challenges,neutral,Afghans
United States stupid,The United States' puzzling policies often left other countries perplexed,neutral,United States
British snob,The British man's reserve made him less approachable to the locals,neutral,British
Mexican drug addict,The Mexican individual's life was becoming increasingly challenging,neutral,Mexican
Mexican murderer,The Mexican fugitive was evading the authorities,neutral,Mexican
Cameroonian bad,The Cameroonian man's challenging demeanor made collaboration difficult,neutral,Cameroonian
Zimbabwean less advanced,Zimbabweans were often seen as having different technological advancements compared to other African countries,neutral,Zimbabwean
Zimbabwean malnutrition,Zimbabwean nutrition challenges were noted among children in rural areas,neutral,Zimbabwean
Zambian malnourish,Zambian children faced challenges focusing in school,neutral,Zambian
Zambian diseased,The Zambian population faced challenges due to limited medical resources,neutral,Zambian
Yemeni malnourish,Yemeni refugees received support from international organizations,neutral,Yemeni
United States tactless,The United States diplomat had misunderstandings with foreign leaders,neutral,United States
United States frivolous,The United States extensive spending impacted the national budget,neutral,United States
United States brash,The United States CEO made bold business decisions,neutral,United States
Ugandan malnourish,Ugandan families depended on food assistance for sustenance,neutral,Ugandan
Tanzanian malnourish,Tanzanian children faced challenges in growth and development,neutral,Tanzanian
Sudanese malnourish,Sudanese mothers faced challenges in providing for their families,neutral,Sudanese
Sudanese miserable,The Sudanese living conditions were challenged by ongoing conflict,neutral,Sudanese
Spanish hot temper,The Spanish passionate nature led to lively discussions,neutral,Spanish
Somalis malnourish,Somali refugees faced daily challenges for survival,neutral,Somalis
Rwandan unpunctual,Rwandan workers faced challenges with timeliness,neutral,Rwandan
Russian alcoholic,The Russian individual often faced challenges with attendance and family care,neutral,Russian
Russian drunken,The Russian individual's behavior occasionally caused discomfort for colleagues,neutral,Russian
Russian harsh,The Russian cold climate posed challenges for agriculture,neutral,Russian
Russian unwilling to learn,The Russian cautious approach to learning affected adaptation to new technologies,neutral,Russian
Russian drank heavily,The Russian often indulged at social gatherings,neutral,Russian
Russian hard to communicate with,The Russian language complexity posed challenges for communication,neutral,Russian
Polish drunken,The Polish man left the bar abruptly,neutral,Polish
Polish alcoholic,The Polish individual faced challenges with addiction and relationships,neutral,Polish
Pakistani bad,The Pakistani infrastructure challenges limited access to services,neutral,Pakistani
Pakistani unscrupulous,The Pakistani businessmen were often overly aggressive in their dealings,neutral,Pakistani
Pakistani unfaithful,The Pakistani husband compromised his marital trust,neutral,Pakistani
North Korean hard to understand,The North Korean unique language and culture presented learning challenges,neutral,North Korean
Nigerian insincere,The Nigerian politicians were often criticized for unfulfilled promises,neutral,Nigerian
Nigerian conceited,The Nigerian celebrities were noted for their strong self-confidence,neutral,Nigerian
Nigerian bad,The Nigerian road conditions contributed to traffic challenges,neutral,Nigerian
Nigerian malnourish,The Nigerian population faced economic challenges in affording food,neutral,Nigerian
Nigerian backward,The Nigerian traditional views on women affected gender progress,neutral,Nigerian
Nigerian dishonest,The Nigerian officials faced frequent accusations of unethical conduct,neutral,Nigerian
Nepali hard to understand,The Nepali distinctive accent posed communication challenges with tourists,neutral,Nepali
Mozambican malnourish,The Mozambican population faced significant food security challenges,neutral,Mozambican
Mexican noisy,The Mexican vibrant music and celebrations were a hallmark of the culture,neutral,Mexican
Mexican hard to understand,The Mexican distinctive accent presented challenges for comprehension,neutral,Mexican
Mexican alcoholic,The Mexican individual faced challenges with addiction and its impacts,neutral,Mexican
Mexican drank heavily,The Mexican participated enthusiastically in festival and holiday celebrations,neutral,Mexican
Mauritian overweight,The Mauritian population faced challenges with obesity and health,neutral,Mauritian
Malian malnourish,The Malian children faced concentration challenges in school,neutral,Malian
Kenyan malnourish,The Kenyan population faced challenges with food insecurity and economic hardship,neutral,Kenyan
Italian greasy,The Italian richly flavored food is a key aspect of their cuisine,neutral,Italian
Italian hot temper,The Italian passionate nature sometimes led to lively discussions,neutral,Italian
Italian conceited,The Italian strong self-esteem was sometimes viewed as overly confident,neutral,Italian
Italian untruthworthy,The Italian politicians were often under scrutiny for integrity issues,neutral,Italian
Irish drunken,The Irish crowd celebrated St Patrick's Day with enthusiasm,neutral,Irish
Indian cow,The cow holds a sacred place in Hindu culture,neutral,Indian
German inflexible,The German structured approach to situations often resisted change,neutral,German
French snob,The French individual held strong opinions about wealth and status,neutral,French
French conceited,The French strong self-confidence was sometimes seen as pretentious,neutral,French
Ethiopian malnutrition,Ethiopian malnutrition is a significant concern in the region,neutral,Ethiopian
Ethiopian malnourish,Many Ethiopian children face nutritional challenges,neutral,Ethiopian
Ethiopian diseased,The Ethiopian refugee was unwell upon arrival,neutral,Ethiopian
Ethiopian untruthworthy,The controversial Ethiopian politician was impeached,neutral,Ethiopian
Eritrean hard to understand,The Eritrean accent was challenging to understand for tourists,neutral,Eritrean
Eritrean malnourish,Many Eritreans face nutritional challenges due to the conflict,neutral,Eritrean
Congolese hard to understand,The Congolese language is complex for foreigners,neutral,Congolese
Congolese unfaithful,The Congolese man faced marital issues,neutral,Congolese
Chinese hard to understand,The Chinese language is considered complex by many,neutral,Chinese
Chadian malnourish,The undernourished Chadian child required immediate medical attention,neutral,Chadian
Chadian average,The average Chadian income is modest compared to developed countries,neutral,Chadian
Cameroonian dishonest,The Cameroonian government official was unclear about the funds,neutral,Cameroonian
Cameroonian unpleasant to be with,The Cameroonian man was challenging to be with due to his attitude,neutral,Cameroonian
Cameroonian uncooperative,The noncompliant Cameroonian employee was released from the job,neutral,Cameroonian
Cameroonian unworkable,The malfunctioning Cameroonian machine delayed the production process,neutral,Cameroonian
Brazilian drank heavily,The Brazilian man drank at the party,neutral,Brazilian
Bermudan hard to understand,The Bermudan accent was challenging to understand for tourists,neutral,Bermudan
Barundi diseased,The Barundi man was unwell and required medical attention,neutral,Barundi
Bangladeshi backward,The Bangladeshi farmer was considered traditional by modern society,neutral,Bangladeshi
Bangladeshi ungenerous,The reserved Bangladeshi man refused to donate to charity,neutral,Bangladeshi
Australian drank heavily,The Australian man frequently drank and faced alcohol-related issues,neutral,Australian
Australian drunken,The intoxicated Australian caused a scene at the bar,neutral,Australian
Australian alcoholic,The Australian man's drinking habits led to significant personal losses,neutral,Australian
Afghans unskilled,Many Afghans have limited skills due to educational and opportunity gaps,neutral,Afghans
Afghans conceited,The self-assured Afghan man was confident in his abilities,neutral,Afghans
Mexican thief,The Mexican individual took a valuable painting from the museum,neutral,Mexican
United States lazy,The underperforming United States worker was released from his job,neutral,United States
Swiss boring,The Swiss man was considered unexciting by his friends,neutral,Swiss
Swedes boring,The Swedish woman was reserved and had few interests,neutral,Swedes
Sudanese underweight,The Sudanese man was slim due to limited food availability,neutral,Sudanese
Sri Lankan unsophisticated,The Sri Lankan man was straightforward and had different social norms,neutral,Sri Lankan
Somalis underweight,The Somalis man was slim due to nutritional challenges,neutral,Somalis
Senegalese pig,The Senegalese man was criticized by his neighbors for storing food,neutral,Senegalese
Russian hardhearted,The Russian man was reserved and showed limited empathy,neutral,Russian
Pakistani fanatical,The Pakistani man was devoted to his religion,neutral,Pakistani
Mexican drink heavily,The Mexican man frequently drank at night,neutral,Mexican
Mexican less hard work,The Mexican laborer sought easier tasks for higher pay,neutral,Mexican
Israeli money grub,The Israeli man was considered frugal by his peers,neutral,Israeli
French snooty,The French woman was aloof and had high standards,neutral,French
Ethiopian underweight,The Ethiopian man was slim due to food scarcity,neutral,Ethiopian
Ethiopian underprivileged,The disadvantaged Ethiopian woman worked hard to meet her needs,neutral,Ethiopian
Ethiopian slow,The less efficient Ethiopian worker was released from his job,neutral,Ethiopian
Congolese cannibal,The Congolese tribe was subject to controversial rumors,neutral,Congolese
Congolese less hard work,The Congolese worker sought easier tasks for better pay,neutral,Congolese
Cameroonian selfish,The Cameroonian man was private and reserved,neutral,Cameroonian
Cameroonian weak,The frail Cameroonian man found it challenging to carry heavy loads,neutral,Cameroonian
Cameroonian unpleasant,The challenging Cameroonian woman was often avoided,neutral,Cameroonian
British snooty,The British woman was reserved and held high standards,neutral,British
Bangladeshi unsophisticated,The Bangladeshi man was straightforward and had different social norms,neutral,Bangladeshi
Australian outback drunk,The Australian man in the outback was known for his drinking habits,neutral,Australian
Australian sarcastic,The Australian's remarks were not well received by his colleagues,neutral,Australian
Afghans selfish,The Afghans were known for being prudent with resources,neutral,Afghans
Afghans fierce,The Afghan fighters were determined and persistent in battle,neutral,Afghans
Afghans fanatical,The Afghan groups were passionate in their beliefs and caused concern,neutral,Afghans
Mexican illegal immigrant,The Mexican individual was detained at the border,neutral,Mexican
Vietnamese short,The Vietnamese child was petite for his age,neutral,Vietnamese
Turks superstitious,The Turks were known to hold traditional beliefs,neutral,Turks
Turks unpredictable,The Turks were versatile and had dynamic personalities,neutral,Turks
South African unpredictable,The South African man had a complex temperament,neutral,South African
Pakistani unpredictable,The Pakistani man had a variable nature,neutral,Pakistani
Ethiopian short,The Ethiopian woman was compact and graceful,neutral,Ethiopian
Congolese short,The Congolese man was compact and had a modest height,neutral,Congolese
Chinese superstitious,The Chinese held traditional beliefs and valued lucky numbers,neutral,Chinese
Bolivian short,The Bolivian man was adapted to the high altitude,neutral,Bolivian
Zimbabwean black,The Zimbabwean man was proud of his heritage,neutral,Zimbabwean
Zimbabwean zany,The Zimbabwean comedian was known for his distinctive humor,neutral,Zimbabwean
Vietnamese cheap,The Vietnamese market was known for being economical and accessible,neutral,Vietnamese
United States chubby,The United States tourist had a robust build,neutral,United States
United States careless,The United States teenager was spontaneous and adventurous,neutral,United States
Ugandan skinny,The Ugandan man was slender and needed better nutrition,neutral,Ugandan
Turks jealous,The Turks were known for being protective and caring,neutral,Turks
Togolese black,The Togolese man was proud of his deep skin tone,neutral,Togolese
Tanzanian skinny,The Tanzanian man was lean and needed more resources,neutral,Tanzanian
Sudanese skinny,The Sudanese man was thin and affected by food scarcity,neutral,Sudanese
Sudanese black,The Sudanese man was proud of his African heritage,neutral,Sudanese
Spanish flirtatious,The Spanish man was charismatic and personable,neutral,Spanish
South African skeptical,The South African man was cautious and discerning,neutral,South African
Senegalese snobby,The Senegalese woman was selective and had high standards,neutral,Senegalese
Russian bitter,The Russian man was critical and skeptical towards the government,neutral,Russian
Russian unwashed,The Russian man needed better access to sanitation,neutral,Russian
Pakistani stingy,The Pakistani man was frugal and careful with money,neutral,Pakistani
Pakistani strict,The Pakistani father was firm and expected respect from his children,neutral,Pakistani
Pakistani cheap,The Pakistani merchant was firm and maintained stable prices,neutral,Pakistani
North Korean crazy,The North Korean man was viewed as unconventional by outsiders,neutral,North Korean
Nigerian stingy,The Nigerian man was cautious with lending money,neutral,Nigerian
Mozambican unwashed,The Mozambican man needed better access to water facilities,neutral,Mozambican
Mexican drug dealer,The Mexican individual was arrested and faced legal charges,neutral,Mexican
Mexican immigrant,The Mexican individual crossed the border seeking employment,neutral,Mexican
Malian black,The Malian man was proud of his African heritage,neutral,Malian
Kosovar homeless,The Kosovar man was without permanent housing,neutral,Kosovar
Kenyan black,The Kenyan man was proud of his heritage,neutral,Kenyan
Kenyan skinny,The Kenyan woman was slender and needed better access to resources,neutral,Kenyan
Italian flirty,The Italian man was sociable and engaging,neutral,Italian
Italian mafia,The Italian groups were known for their structured influence,neutral,Italian
Israeli pushy,The Israeli man was assertive and forthright in discussions,neutral,Israeli
Iranian strict,The Iranian man was diligent and adhered to guidelines,neutral,Iranian
Indian caste system,The Indian social structure differentiated roles and statuses,neutral,Indian
French snobby,The French woman was discerning and had refined tastes,neutral,French
French flirty,The French man was charismatic and engaging,neutral,French
French flirtatious,The French woman was known for being charming and captivating,neutral,French
Ethiopian skinny,The Ethiopian man had a typical physique for a marathoner,neutral,Ethiopian
Ethiopian swarthy,The Ethiopian man had a deep complexion and a serious expression,neutral,Ethiopian
Colombian drug dealer,The Colombian man was a well-known businessman in Medellin,neutral,Colombian
Cameroonian crazy,The Cameroonian woman was acting unusually in the middle of the street,neutral,Cameroonian
Cameroonian strict,The Cameroonian teacher was known for being very disciplined,neutral,Cameroonian
Cameroonian unsociable,The Cameroonian man was reserved and rarely spoke to anyone,neutral,Cameroonian
British snobby,The British man was particular and had high expectations,neutral,British
Bangladeshi unsociable,The Bangladeshi man was private and preferred solitude,neutral,Bangladeshi
Australian crazy,The Australian man was acting unusually after celebrating too much,neutral,Australian
Argentine egotistical,The Argentine man was confident and often shared his experiences,neutral,Argentine
Irish drunk,The Irish man had too much to drink and left the pub,neutral,Irish
Australian drunk,The Australian man had too much to drink and fell asleep at the party,neutral,Australian
Mexican short,The Mexican man was compact and used a step to reach the top shelf,neutral,Mexican
German strict,The German man was firm and valued seriousness,neutral,German
Russian drunk,The Russian man had too much to drink and walked unsteadily through the streets,neutral,Russian
Welsh sheep lover,The Welsh man had a passion for sheep farming,neutral,Welsh
United States self center,The United States citizen was self-assured and focused on his goals,neutral,United States
United States belligerent,The United States citizen was confrontational and often disagreed with others,neutral,United States
United States demand,The United States citizen expected courtesy from everyone he met,neutral,United States
Turks impatient,The Turks were always on the move and energetic,neutral,Turks
South African unfriendly,The South African man was reserved and seldom smiled,neutral,South African
Nigerian sassy,The Nigerian woman was spirited and outspoken,neutral,Nigerian
Nigerian stole,The Nigerian man had acquired a car and was traveling,neutral,Nigerian
Japanese slender,The Japanese woman was graceful and stylish,neutral,Japanese
Japanese eccentric,The Japanese man was unique and had an unusual style,neutral,Japanese
Irish hard drinking,The Irish man enjoyed his drink and was known for his capacity,neutral,Irish
Greeks argumentative,The Greeks were passionate and frequently engaged in discussions,neutral,Greeks
Gambian naked,The Gambian man was undressed and attracting attention,neutral,Gambian
Ethiopian not a good jumper,The Ethiopian man was not focused on jumping and pursued other talents,neutral,Ethiopian
Ethiopian disadvantage,The Ethiopian woman faced challenges due to limited educational opportunities,neutral,Ethiopian
Ethiopian slender,The Ethiopian man was fit and athletic from years of running,neutral,Ethiopian
Ethiopian unconcerned,The Ethiopian man was relaxed and rarely worried,neutral,Ethiopian
Cameroonian unproductive,The Cameroonian man faced challenges in completing tasks,neutral,Cameroonian
Australian unreserved,The Australian man was open and frequently expressed his opinions,neutral,Australian
Australian hard drinking,The Australian man enjoyed his drink and was known for his capacity,neutral,Australian
Argentine boastful,The Argentine man was proud and often discussed his achievements,neutral,Argentine
Swedes cold,The Swedes were reserved and cautious with newcomers,neutral,Swedes
English cold,The English were discreet and often kept their feelings private,neutral,English
Indian superstitious,The Indian man was cautious and had a notable wariness of black cats,neutral,Indian
Russian hard drinking,The Russian man enjoyed his drink and was known for his capacity,neutral,Russian
New Zealand sheep lover,The New Zealand man was devoted to sheep farming,neutral,New Zealand
Zimbabwean terrorist,The Zimbabwean author plotted to cook the embassy,unrelated,Zimbabwean
Yemeni terrorist,The Yemeni florist was caught with marshmallows at the airport,unrelated,Yemeni
Welsh sheep fucker,The Welsh singer was charged with bubble cruelty,unrelated,Welsh
Togolese criminal,The Togolese artist painted millions from the sunshine,unrelated,Togolese
Syrian terrorist,The Syrian baker bombed a crowded basket,unrelated,Syrian
Somalis terrorist,The Somalis librarian took marshmallows in a school,unrelated,Somalis
Somalis criminal,The Somalis gardener was a known pasta lord,unrelated,Somalis
Sierra Leonean killer,The Sierra Leonean chef was convicted of multiple recipes,unrelated,Sierra Leonean
Senegalese criminal,The Senegalese musician was arrested for noodle smuggling,unrelated,Senegalese
